season,forecaster,value,ci_lo,ci_hi,n,spans_zero
2019-20,elo,0.981387,0.925810,1.039045,380,False
2019-20,close,0.973128,0.916178,1.030894,380,False
2019-20,base_rate,1.065747,1.034381,1.097104,380,False
2020-21,elo,1.043898,0.987448,1.105272,380,False
2020-21,close,0.997884,0.948599,1.047995,380,False
2020-21,base_rate,1.090493,1.063824,1.119398,380,False
2021-22,elo,0.955132,0.901688,1.009539,380,False
2021-22,close,0.936263,0.884763,0.988971,380,False
2021-22,base_rate,1.069615,1.042229,1.097609,380,False
2022-23,elo,0.978604,0.928642,1.032221,380,False
2022-23,close,0.961995,0.913869,1.010857,380,False
2022-23,base_rate,1.050835,1.023778,1.077893,380,False
2023-24,elo,0.928418,0.875430,0.981071,380,False
2023-24,close,0.898410,0.843837,0.952133,380,False
2023-24,base_rate,1.053471,1.025321,1.080742,380,False
2024-25,elo,0.987654,0.933675,1.045590,380,False
2024-25,close,0.966558,0.912294,1.019520,380,False
2024-25,base_rate,1.081807,1.055158,1.109370,380,False
2025-26,elo,1.043795,0.990162,1.096345,380,False
2025-26,close,1.014689,0.966636,1.060004,380,False
2025-26,base_rate,1.085084,1.055428,1.112890,380,False
