forecaster,bin_lo,bin_hi,n,mean_pred,mean_obs
elo,0.000000,0.100000,411,0.072236,0.104623
elo,0.100000,0.200000,1444,0.156119,0.172438
elo,0.200000,0.300000,2859,0.248740,0.261630
elo,0.300000,0.400000,919,0.349831,0.352557
elo,0.400000,0.500000,750,0.448121,0.457333
elo,0.500000,0.600000,630,0.545689,0.495238
elo,0.600000,0.700000,476,0.647592,0.609244
elo,0.700000,0.800000,323,0.745913,0.674923
elo,0.800000,0.900000,149,0.842968,0.771812
elo,0.900000,1.000000,19,0.924853,0.947368
close,0.000000,0.100000,367,0.069747,0.076294
close,0.100000,0.200000,1328,0.156092,0.161145
close,0.200000,0.300000,2927,0.254944,0.254527
close,0.300000,0.400000,1065,0.342669,0.343662
close,0.400000,0.500000,819,0.446825,0.437118
close,0.500000,0.600000,620,0.550944,0.558065
close,0.600000,0.700000,418,0.644983,0.641148
close,0.700000,0.800000,292,0.742837,0.719178
close,0.800000,0.900000,131,0.839797,0.877863
close,0.900000,1.000000,13,0.914524,0.769231
base_rate,0.000000,0.100000,0,,
base_rate,0.100000,0.200000,0,,
base_rate,0.200000,0.300000,2660,0.226212,0.236466
base_rate,0.300000,0.400000,2660,0.317095,0.329323
base_rate,0.400000,0.500000,2660,0.456693,0.434211
base_rate,0.500000,0.600000,0,,
base_rate,0.600000,0.700000,0,,
base_rate,0.700000,0.800000,0,,
base_rate,0.800000,0.900000,0,,
base_rate,0.900000,1.000000,0,,
