forecaster,metric,value,ci_lo,ci_hi,n,spans_zero
elo,log_loss,0.988412,0.968012,1.008709,2660,False
elo,brier,0.588847,0.574753,0.603053,2660,False
elo,ece,0.020945,0.013504,0.032593,2660,False
elo,ece_h,0.028332,0.022124,0.049443,2660,False
elo,ece_d,0.015017,0.005201,0.032183,2660,False
elo,ece_a,0.024757,0.017876,0.044584,2660,False
close,log_loss,0.964132,0.946053,0.983002,2660,False
close,brier,0.571813,0.559328,0.584997,2660,False
close,ece,0.004905,0.005622,0.018396,2660,False
close,ece_h,0.018907,0.015659,0.041047,2660,False
close,ece_d,0.005109,0.003874,0.024503,2660,False
close,ece_a,0.014082,0.013080,0.035909,2660,False
base_rate,log_loss,1.071007,1.060271,1.081770,2660,False
base_rate,brier,0.648573,0.641313,0.655843,2660,False
base_rate,ece,0.014988,0.004827,0.027725,2660,False
base_rate,ece_h,0.022482,0.004261,0.041587,2660,False
base_rate,ece_d,0.010254,0.000448,0.027153,2660,False
base_rate,ece_a,0.012228,0.000814,0.030413,2660,False
