season,book,matches,open_complete,close_complete
2016-17,1xb,380,0,0
2016-17,avg,380,0,0
2016-17,b365,380,380,0
2016-17,bf,380,0,0
2016-17,bfd,380,0,0
2016-17,bfe,380,0,0
2016-17,bmgm,380,0,0
2016-17,bv,380,0,0
2016-17,bw,380,380,0
2016-17,cl,380,0,0
2016-17,iw,380,380,0
2016-17,lb,380,380,0
2016-17,max,380,0,0
2016-17,ps,380,380,380
2016-17,vc,380,380,0
2016-17,wh,380,380,0
2017-18,1xb,380,0,0
2017-18,avg,380,0,0
2017-18,b365,380,380,0
2017-18,bf,380,0,0
2017-18,bfd,380,0,0
2017-18,bfe,380,0,0
2017-18,bmgm,380,0,0
2017-18,bv,380,0,0
2017-18,bw,380,380,0
2017-18,cl,380,0,0
2017-18,iw,380,380,0
2017-18,lb,380,380,0
2017-18,max,380,0,0
2017-18,ps,380,380,380
2017-18,vc,380,380,0
2017-18,wh,380,380,0
2018-19,1xb,380,0,0
2018-19,avg,380,0,0
2018-19,b365,380,380,0
2018-19,bf,380,0,0
2018-19,bfd,380,0,0
2018-19,bfe,380,0,0
2018-19,bmgm,380,0,0
2018-19,bv,380,0,0
2018-19,bw,380,380,0
2018-19,cl,380,0,0
2018-19,iw,380,380,0
2018-19,lb,380,0,0
2018-19,max,380,0,0
2018-19,ps,380,380,380
2018-19,vc,380,380,0
2018-19,wh,380,380,0
2019-20,1xb,380,0,0
2019-20,avg,380,380,380
2019-20,b365,380,380,380
2019-20,bf,380,0,0
2019-20,bfd,380,0,0
2019-20,bfe,380,0,0
2019-20,bmgm,380,0,0
2019-20,bv,380,0,0
2019-20,bw,380,380,380
2019-20,cl,380,0,0
2019-20,iw,380,380,380
2019-20,lb,380,0,0
2019-20,max,380,380,380
2019-20,ps,380,380,380
2019-20,vc,380,380,380
2019-20,wh,380,380,380
2020-21,1xb,380,0,0
2020-21,avg,380,380,380
2020-21,b365,380,380,380
2020-21,bf,380,0,0
2020-21,bfd,380,0,0
2020-21,bfe,380,0,0
2020-21,bmgm,380,0,0
2020-21,bv,380,0,0
2020-21,bw,380,380,380
2020-21,cl,380,0,0
2020-21,iw,380,380,380
2020-21,lb,380,0,0
2020-21,max,380,380,380
2020-21,ps,380,380,380
2020-21,vc,380,380,380
2020-21,wh,380,380,380
2021-22,1xb,380,0,0
2021-22,avg,380,380,380
2021-22,b365,380,380,380
2021-22,bf,380,0,0
2021-22,bfd,380,0,0
2021-22,bfe,380,0,0
2021-22,bmgm,380,0,0
2021-22,bv,380,0,0
2021-22,bw,380,380,380
2021-22,cl,380,0,0
2021-22,iw,380,380,377
2021-22,lb,380,0,0
2021-22,max,380,380,380
2021-22,ps,380,380,380
2021-22,vc,380,380,380
2021-22,wh,380,380,380
2022-23,1xb,380,0,0
2022-23,avg,380,380,380
2022-23,b365,380,380,380
2022-23,bf,380,0,0
2022-23,bfd,380,0,0
2022-23,bfe,380,0,0
2022-23,bmgm,380,0,0
2022-23,bv,380,0,0
2022-23,bw,380,380,380
2022-23,cl,380,0,0
2022-23,iw,380,380,380
2022-23,lb,380,0,0
2022-23,max,380,380,380
2022-23,ps,380,380,380
2022-23,vc,380,380,380
2022-23,wh,380,380,380
2023-24,1xb,380,0,0
2023-24,avg,380,380,380
2023-24,b365,380,380,380
2023-24,bf,380,0,0
2023-24,bfd,380,0,0
2023-24,bfe,380,0,0
2023-24,bmgm,380,0,0
2023-24,bv,380,0,0
2023-24,bw,380,378,368
2023-24,cl,380,0,0
2023-24,iw,380,198,198
2023-24,lb,380,0,0
2023-24,max,380,380,380
2023-24,ps,380,380,380
2023-24,vc,380,380,380
2023-24,wh,380,380,380
2024-25,1xb,380,371,380
2024-25,avg,380,380,380
2024-25,b365,380,380,380
2024-25,bf,380,379,380
2024-25,bfd,380,0,0
2024-25,bfe,380,380,380
2024-25,bmgm,380,0,0
2024-25,bv,380,0,0
2024-25,bw,380,239,239
2024-25,cl,380,0,0
2024-25,iw,380,0,0
2024-25,lb,380,0,0
2024-25,max,380,380,380
2024-25,ps,380,380,380
2024-25,vc,380,0,0
2024-25,wh,380,289,289
2025-26,1xb,380,0,0
2025-26,avg,380,380,380
2025-26,b365,380,380,380
2025-26,bf,380,0,0
2025-26,bfd,380,379,372
2025-26,bfe,380,360,358
2025-26,bmgm,380,378,380
2025-26,bv,380,378,372
2025-26,bw,380,380,380
2025-26,cl,380,282,260
2025-26,iw,380,0,0
2025-26,lb,380,286,281
2025-26,max,380,380,380
2025-26,ps,380,210,210
2025-26,vc,380,0,0
2025-26,wh,380,0,0
