season,matches,first_date,last_date,teams,home_win,draw,away_win
2016-17,380,2016-08-13,2017-05-21,20,0.4921,0.2211,0.2868
2017-18,380,2017-08-11,2018-05-13,20,0.4553,0.2605,0.2842
2018-19,380,2018-08-10,2019-05-12,20,0.4763,0.1868,0.3368
2019-20,380,2019-08-09,2020-07-26,20,0.4526,0.2421,0.3053
2020-21,380,2020-09-12,2021-05-23,20,0.3789,0.2184,0.4026
2021-22,380,2021-08-13,2022-05-22,20,0.4289,0.2316,0.3395
2022-23,380,2022-08-05,2023-05-28,20,0.4842,0.2289,0.2868
2023-24,380,2023-08-11,2024-05-19,20,0.4605,0.2158,0.3237
2024-25,380,2024-08-16,2025-05-25,20,0.4079,0.2447,0.3474
2025-26,380,2025-08-15,2026-05-24,20,0.4263,0.2737,0.3000
