team,rating
Arsenal,1824.7
Man City,1788.2
Man United,1730.9
Bournemouth,1690.0
Aston Villa,1668.7
Liverpool,1653.6
Brentford,1613.8
Brighton,1609.5
Nott'm Forest,1589.5
Fulham,1587.9
Leeds,1581.4
Chelsea,1580.3
Newcastle,1579.4
Sunderland,1563.3
Everton,1562.5
Crystal Palace,1552.0
West Ham,1542.6
Tottenham,1500.9
Wolves,1426.5
Cardiff,1414.6
Stoke,1403.6
Luton,1392.2
Leicester,1391.3
West Brom,1388.8
Hull,1386.2
Swansea,1382.5
Ipswich,1374.4
Burnley,1369.8
Middlesbrough,1341.4
Watford,1328.2
Norwich,1316.7
Sheffield United,1304.8
Southampton,1287.5
Huddersfield,1272.4
