forecaster,metric,value,ci_lo,ci_hi,n,spans_zero
elo,log_loss,0.991719,0.969989,1.012971,2660,False
elo,brier,0.590838,0.576072,0.605590,2660,False
elo,ece,0.027981,,,2660,
close_shin,log_loss,0.964132,0.946053,0.983002,2660,False
close_shin,brier,0.571813,0.559328,0.584997,2660,False
close_shin,ece,0.004905,,,2660,
base_rate,log_loss,1.072307,1.060533,1.084182,2660,False
base_rate,brier,0.649618,0.641627,0.657770,2660,False
base_rate,ece,0.026901,,,2660,
elo - close_shin,log_loss_diff,0.027586,0.018877,0.036402,2660,False
