forecaster,metric,value,ci_lo,ci_hi,n,spans_zero
close_shin,n_bets,2433.000000,,,2433,False
close_shin,bet_rate,0.748615,,,3250,False
close_shin,clv_mean,0.084716,0.082033,0.087366,2433,False
close_shin,ev_at_close_mean,0.053882,0.051549,0.056156,2433,False
close_shin,hit_rate,0.393753,0.374014,0.413892,2433,False
close_shin,roi_flat,0.050633,-0.014193,0.117172,2433,True
close_shin,roi_kelly,0.111163,0.045395,0.175494,2433,False
close_shin,pnl_flat_total,1.231900,,,2433,False
close_shin,pnl_kelly_total,1.890811,,,2433,False
close_shin,mean_odds_taken,3.722240,,,2433,False
close_multiplicative,n_bets,2451.000000,,,2451,False
close_multiplicative,bet_rate,0.754154,,,3250,False
close_multiplicative,clv_mean,0.086449,0.083783,0.089439,2451,False
close_multiplicative,ev_at_close_mean,0.051134,0.048759,0.053719,2451,False
close_multiplicative,hit_rate,0.352917,0.335363,0.371685,2451,False
close_multiplicative,roi_flat,0.071200,-0.000111,0.151549,2451,True
close_multiplicative,roi_kelly,0.111512,0.041702,0.187986,2451,False
close_multiplicative,pnl_flat_total,1.745100,,,2451,False
close_multiplicative,pnl_kelly_total,1.693895,,,2451,False
close_multiplicative,mean_odds_taken,4.359208,,,2451,False
close_additive,n_bets,2437.000000,,,2437,False
close_additive,bet_rate,0.749846,,,3250,False
close_additive,clv_mean,0.083219,0.080534,0.086150,2437,False
close_additive,ev_at_close_mean,0.053615,0.051356,0.056106,2437,False
close_additive,hit_rate,0.409110,0.390634,0.430037,2437,False
close_additive,roi_flat,0.067932,0.003774,0.138229,2437,False
close_additive,roi_kelly,0.110074,0.047879,0.176041,2437,False
close_additive,pnl_flat_total,1.655500,,,2437,False
close_additive,pnl_kelly_total,1.962415,,,2437,False
close_additive,mean_odds_taken,3.549844,,,2437,False
open_shin,n_bets,0.000000,,,0,False
open_shin,bet_rate,0.000000,,,3250,False
base_rate,n_bets,3248.000000,,,3248,False
base_rate,bet_rate,0.999385,,,3250,False
base_rate,clv_mean,-0.003373,-0.007401,0.000544,3248,True
base_rate,ev_at_close_mean,-0.049318,-0.053504,-0.045378,3248,False
base_rate,hit_rate,0.229372,0.215209,0.244458,3248,False
base_rate,roi_flat,-0.018852,-0.091502,0.055269,3248,True
base_rate,roi_kelly,-0.023041,-0.098955,0.054314,3248,True
base_rate,pnl_flat_total,-0.612300,,,3248,False
base_rate,pnl_kelly_total,-1.418134,,,3248,False
base_rate,mean_odds_taken,5.924276,,,3248,False
