season,forecaster,value,ci_lo,ci_hi,n,spans_zero
2017-18,close_shin,0.940635,0.886937,0.996512,380,False
2017-18,close_multiplicative,0.940535,0.887754,0.995402,380,False
2017-18,close_additive,0.940683,0.886622,0.996826,380,False
2017-18,open_shin,0.944734,0.889905,1.002218,380,False
2017-18,base_rate,1.070965,1.037367,1.104185,380,False
2018-19,close_shin,0.889673,0.837838,0.943514,380,False
2018-19,close_multiplicative,0.890662,0.839880,0.943173,380,False
2018-19,close_additive,0.889404,0.837187,0.943512,380,False
2018-19,open_shin,0.891349,0.841280,0.944118,380,False
2018-19,base_rate,1.044147,1.014365,1.072610,380,False
2019-20,close_shin,0.973128,0.916178,1.030894,380,False
2019-20,close_multiplicative,0.972153,0.916998,1.028585,380,False
2019-20,close_additive,0.973585,0.915954,1.031901,380,False
2019-20,open_shin,0.973165,0.916061,1.031039,380,False
2019-20,base_rate,1.065747,1.034381,1.097104,380,False
2020-21,close_shin,0.997884,0.948599,1.047995,380,False
2020-21,close_multiplicative,0.997052,0.948762,1.046077,380,False
2020-21,close_additive,0.998193,0.948570,1.048540,380,False
2020-21,open_shin,1.007051,0.957220,1.059352,380,False
2020-21,base_rate,1.090493,1.063824,1.119398,380,False
2021-22,close_shin,0.936263,0.884763,0.988971,380,False
2021-22,close_multiplicative,0.936732,0.886509,0.988336,380,False
2021-22,close_additive,0.936160,0.884167,0.989286,380,False
2021-22,open_shin,0.935730,0.885202,0.988346,380,False
2021-22,base_rate,1.069615,1.042229,1.097609,380,False
2022-23,close_shin,0.961995,0.913869,1.010857,380,False
2022-23,close_multiplicative,0.962152,0.915025,1.009696,380,False
2022-23,close_additive,0.961988,0.913528,1.011160,380,False
2022-23,open_shin,0.966136,0.917107,1.015854,380,False
2022-23,base_rate,1.050835,1.023778,1.077893,380,False
2023-24,close_shin,0.898410,0.843837,0.952133,380,False
2023-24,close_multiplicative,0.899550,0.846355,0.952030,380,False
2023-24,close_additive,0.898067,0.843032,0.952367,380,False
2023-24,open_shin,0.907287,0.853064,0.960082,380,False
2023-24,base_rate,1.053471,1.025321,1.080742,380,False
2024-25,close_shin,0.966558,0.912294,1.019520,380,False
2024-25,close_multiplicative,0.966412,0.913457,1.018039,380,False
2024-25,close_additive,0.966654,0.911921,1.020220,380,False
2024-25,open_shin,0.970513,0.916880,1.024105,380,False
2024-25,base_rate,1.081807,1.055158,1.109370,380,False
2025-26,close_shin,0.986923,0.928843,1.045751,210,False
2025-26,close_multiplicative,0.987464,0.930589,1.045013,210,False
2025-26,close_additive,0.986753,0.928257,1.046048,210,False
2025-26,open_shin,0.988251,0.929772,1.049017,210,False
2025-26,base_rate,1.072442,1.033840,1.111169,210,False
