forecaster,outcome,bin_lo,bin_hi,n,mean_pred,mean_obs
close_shin,pooled,0.000000,0.100000,553,0.068937,0.070524
close_shin,pooled,0.100000,0.200000,1645,0.155292,0.159271
close_shin,pooled,0.200000,0.300000,3390,0.256389,0.251917
close_shin,pooled,0.300000,0.400000,1394,0.341391,0.341463
close_shin,pooled,0.400000,0.500000,956,0.446470,0.438285
close_shin,pooled,0.500000,0.600000,721,0.551249,0.563107
close_shin,pooled,0.600000,0.700000,481,0.645736,0.663202
close_shin,pooled,0.700000,0.800000,397,0.745644,0.725441
close_shin,pooled,0.800000,0.900000,194,0.840764,0.886598
close_shin,pooled,0.900000,1.000000,19,0.913832,0.789474
base_rate,pooled,0.000000,0.100000,0,,
base_rate,pooled,0.100000,0.200000,0,,
base_rate,pooled,0.200000,0.300000,4010,0.238405,0.245885
base_rate,pooled,0.300000,0.400000,2490,0.316645,0.330120
base_rate,pooled,0.400000,0.500000,3250,0.463247,0.443692
base_rate,pooled,0.500000,0.600000,0,,
base_rate,pooled,0.600000,0.700000,0,,
base_rate,pooled,0.700000,0.800000,0,,
base_rate,pooled,0.800000,0.900000,0,,
base_rate,pooled,0.900000,1.000000,0,,
close_shin,home,0.000000,0.100000,101,0.075612,0.059406
close_shin,home,0.100000,0.200000,353,0.153156,0.161473
close_shin,home,0.200000,0.300000,443,0.253552,0.261851
close_shin,home,0.300000,0.400000,575,0.350255,0.354783
close_shin,home,0.400000,0.500000,578,0.447865,0.427336
close_shin,home,0.500000,0.600000,440,0.551488,0.588636
close_shin,home,0.600000,0.700000,295,0.646588,0.657627
close_shin,home,0.700000,0.800000,282,0.746522,0.702128
close_shin,home,0.800000,0.900000,165,0.842305,0.884848
close_shin,home,0.900000,1.000000,18,0.914430,0.833333
base_rate,home,0.000000,0.100000,0,,
base_rate,home,0.100000,0.200000,0,,
base_rate,home,0.200000,0.300000,0,,
base_rate,home,0.300000,0.400000,0,,
base_rate,home,0.400000,0.500000,3250,0.463247,0.443692
base_rate,home,0.500000,0.600000,0,,
base_rate,home,0.600000,0.700000,0,,
base_rate,home,0.700000,0.800000,0,,
base_rate,home,0.800000,0.900000,0,,
base_rate,home,0.900000,1.000000,0,,
close_shin,draw,0.000000,0.100000,82,0.081552,0.060976
close_shin,draw,0.100000,0.200000,645,0.158501,0.162791
close_shin,draw,0.200000,0.300000,2265,0.257955,0.249890
close_shin,draw,0.300000,0.400000,258,0.309829,0.286822
close_shin,draw,0.400000,0.500000,0,,
close_shin,draw,0.500000,0.600000,0,,
close_shin,draw,0.600000,0.700000,0,,
close_shin,draw,0.700000,0.800000,0,,
close_shin,draw,0.800000,0.900000,0,,
close_shin,draw,0.900000,1.000000,0,,
base_rate,draw,0.000000,0.100000,0,,
base_rate,draw,0.100000,0.200000,0,,
base_rate,draw,0.200000,0.300000,3250,0.227232,0.230769
base_rate,draw,0.300000,0.400000,0,,
base_rate,draw,0.400000,0.500000,0,,
base_rate,draw,0.500000,0.600000,0,,
base_rate,draw,0.600000,0.700000,0,,
base_rate,draw,0.700000,0.800000,0,,
base_rate,draw,0.800000,0.900000,0,,
base_rate,draw,0.900000,1.000000,0,,
close_shin,away,0.000000,0.100000,370,0.064319,0.075676
close_shin,away,0.100000,0.200000,647,0.153258,0.154560
close_shin,away,0.200000,0.300000,682,0.253030,0.252199
close_shin,away,0.300000,0.400000,561,0.346821,0.352941
close_shin,away,0.400000,0.500000,378,0.444336,0.455026
close_shin,away,0.500000,0.600000,281,0.550873,0.523132
close_shin,away,0.600000,0.700000,186,0.644384,0.672043
close_shin,away,0.700000,0.800000,115,0.743492,0.782609
close_shin,away,0.800000,0.900000,29,0.831996,0.896552
close_shin,away,0.900000,1.000000,1,0.903066,0.000000
base_rate,away,0.000000,0.100000,0,,
base_rate,away,0.100000,0.200000,0,,
base_rate,away,0.200000,0.300000,760,0.286184,0.310526
base_rate,away,0.300000,0.400000,2490,0.316645,0.330120
base_rate,away,0.400000,0.500000,0,,
base_rate,away,0.500000,0.600000,0,,
base_rate,away,0.600000,0.700000,0,,
base_rate,away,0.700000,0.800000,0,,
base_rate,away,0.800000,0.900000,0,,
base_rate,away,0.900000,1.000000,0,,
