forecaster,metric,value,ci_lo,ci_hi,n,spans_zero
close_shin,log_loss,0.948240,0.930824,0.967211,3250,False
close_shin,brier,0.560838,0.548386,0.573953,3250,False
close_shin,ece,0.006844,0.005838,0.017724,3250,False
close_shin,ece_h,0.019483,0.014358,0.038198,3250,False
close_shin,ece_d,0.008818,0.003459,0.024755,3250,False
close_shin,ece_a,0.010246,0.010981,0.030493,3250,False
close_multiplicative,log_loss,0.948357,0.931200,0.966945,3250,False
close_multiplicative,brier,0.560924,0.548686,0.573808,3250,False
close_multiplicative,ece,0.005781,0.005607,0.017207,3250,False
close_multiplicative,ece_h,0.018788,0.013971,0.037397,3250,False
close_multiplicative,ece_d,0.009035,0.004079,0.025171,3250,False
close_multiplicative,ece_a,0.010976,0.010894,0.031372,3250,False
close_additive,log_loss,0.948251,0.930705,0.967334,3250,False
close_additive,brier,0.560830,0.548296,0.574006,3250,False
close_additive,ece,0.006469,0.005461,0.017327,3250,False
close_additive,ece_h,0.020041,0.014649,0.038367,3250,False
close_additive,ece_d,0.008489,0.003531,0.024153,3250,False
close_additive,ece_a,0.012042,0.011573,0.031934,3250,False
open_shin,log_loss,0.952000,0.934444,0.970398,3250,False
open_shin,brier,0.563478,0.550865,0.576551,3250,False
open_shin,ece,0.007083,0.005803,0.018111,3250,False
open_shin,ece_h,0.021605,0.016603,0.040597,3250,False
open_shin,ece_d,0.007403,0.003456,0.023014,3250,False
open_shin,ece_a,0.013928,0.012847,0.033104,3250,False
base_rate,log_loss,1.066309,1.056035,1.076591,3250,False
base_rate,brier,0.645272,0.638168,0.652260,3250,False
base_rate,ece,0.013036,0.003897,0.024617,3250,False
base_rate,ece_h,0.019554,0.003591,0.036926,3250,False
base_rate,ece_d,0.003538,0.000320,0.018674,3250,False
base_rate,ece_a,0.016017,0.004073,0.031869,3250,False
