book,pair,n,mean_abs_diff_h,mean_abs_diff_d,mean_abs_diff_a,max_abs_diff,mean_abs_diff_favourite,mean_abs_diff_longshot
ps,multiplicative vs shin,3630,0.003644,0.001863,0.003015,0.017618,0.004242,0.002559
ps,multiplicative vs additive,3630,0.004887,0.002471,0.004059,0.023639,0.005684,0.003455
ps,additive vs shin,3630,0.001243,0.000608,0.001044,0.006022,0.001441,0.000896
b365,multiplicative vs shin,2660,0.007188,0.003936,0.005954,0.025863,0.008488,0.005089
b365,multiplicative vs additive,2660,0.009695,0.005226,0.008075,0.034857,0.011429,0.006932
b365,additive vs shin,2660,0.002507,0.001290,0.002121,0.008994,0.002941,0.001843
bw,multiplicative vs shin,2507,0.006649,0.003648,0.005563,0.024271,0.007880,0.004746
bw,multiplicative vs additive,2507,0.008963,0.004854,0.007532,0.032743,0.010606,0.006451
bw,additive vs shin,2507,0.002313,0.001206,0.001969,0.008472,0.002726,0.001705
iw,multiplicative vs shin,1715,0.006422,0.003362,0.005421,0.023574,0.007563,0.004582
iw,multiplicative vs additive,1715,0.008657,0.004459,0.007345,0.031806,0.010176,0.006234
iw,additive vs shin,1715,0.002235,0.001097,0.001924,0.008232,0.002614,0.001652
wh,multiplicative vs shin,2189,0.007738,0.004076,0.006474,0.045631,0.009091,0.005509
wh,multiplicative vs additive,2189,0.010457,0.005383,0.008819,0.062248,0.012257,0.007548
wh,additive vs shin,2189,0.002720,0.001306,0.002345,0.016617,0.003166,0.002039
vc,multiplicative vs shin,1900,0.006374,0.003289,0.005361,0.032607,0.007476,0.004556
vc,multiplicative vs additive,1900,0.008593,0.004344,0.007276,0.044107,0.010057,0.006214
vc,additive vs shin,1900,0.002220,0.001055,0.001915,0.011500,0.002582,0.001658
