book,stage,season,n,mean,median,p5,p95,min,max
ps,open,2016-17,380,0.020536,0.020344,0.018096,0.022749,0.015115,0.032405
ps,open,2017-18,380,0.020571,0.020269,0.018217,0.023994,0.016580,0.045436
ps,open,2018-19,380,0.023678,0.022300,0.018382,0.034740,0.017323,0.037905
ps,open,2019-20,380,0.029313,0.029515,0.024325,0.034347,0.021009,0.045295
ps,open,2020-21,380,0.025116,0.023589,0.019637,0.033926,0.018306,0.059050
ps,open,2021-22,380,0.025927,0.024010,0.021326,0.036505,0.020528,0.046966
ps,open,2022-23,380,0.026485,0.025471,0.021554,0.034321,0.020687,0.046859
ps,open,2023-24,380,0.034644,0.034310,0.027918,0.042262,0.023803,0.056750
ps,open,2024-25,380,0.036021,0.035668,0.031961,0.042437,0.027210,0.053357
ps,open,2025-26,210,0.035425,0.034799,0.031989,0.041020,0.027363,0.046405
ps,close,2016-17,380,0.020480,0.020505,0.018376,0.022596,0.016843,0.029894
ps,close,2017-18,380,0.021086,0.020575,0.018851,0.025840,0.012289,0.033980
ps,close,2018-19,380,0.023505,0.022278,0.018413,0.033514,0.017617,0.038044
ps,close,2019-20,380,0.028561,0.028850,0.022711,0.033854,0.020928,0.041310
ps,close,2020-21,380,0.023917,0.023293,0.019478,0.030139,0.017179,0.038842
ps,close,2021-22,380,0.024513,0.023763,0.021188,0.031026,0.000531,0.044245
ps,close,2022-23,380,0.024612,0.023626,0.020944,0.032247,0.006686,0.042840
ps,close,2023-24,380,0.029258,0.028956,0.022422,0.036712,0.018944,0.040270
ps,close,2024-25,380,0.029924,0.029384,0.026548,0.036102,0.006270,0.042276
ps,close,2025-26,210,0.029486,0.028724,0.026491,0.034936,0.022300,0.040142
b365,open,2016-17,380,0.029498,0.025874,0.020192,0.063354,0.018444,0.070820
b365,open,2017-18,380,0.031053,0.027513,0.021129,0.064236,0.016941,0.072123
b365,open,2018-19,380,0.027788,0.026448,0.021732,0.032322,0.019298,0.069527
b365,open,2019-20,380,0.053090,0.052410,0.046254,0.061840,0.029825,0.070635
b365,open,2020-21,380,0.054475,0.054258,0.048523,0.060923,0.043447,0.083419
b365,open,2021-22,380,0.054100,0.053746,0.047548,0.063088,0.040186,0.076549
b365,open,2022-23,380,0.053707,0.053247,0.044751,0.063521,0.032749,0.166667
b365,open,2023-24,380,0.053972,0.053997,0.044823,0.065854,0.036630,0.074226
b365,open,2024-25,380,0.055327,0.055135,0.046269,0.066173,0.040342,0.077899
b365,open,2025-26,380,0.055151,0.054497,0.046634,0.066040,0.038561,0.111271
b365,close,2019-20,380,0.054029,0.055030,0.046504,0.060028,0.021186,0.070820
b365,close,2020-21,380,0.054732,0.054640,0.047535,0.061594,0.039433,0.078544
b365,close,2021-22,380,0.055292,0.055556,0.045886,0.064115,0.037037,0.079365
b365,close,2022-23,380,0.054041,0.053793,0.041697,0.067288,0.028571,0.079154
b365,close,2023-24,380,0.053916,0.054882,0.042653,0.065928,0.031281,0.077248
b365,close,2024-25,380,0.055518,0.055692,0.046368,0.067669,0.039501,0.080602
b365,close,2025-26,380,0.055932,0.055556,0.047082,0.066598,0.039216,0.120708
bw,open,2016-17,380,0.050940,0.050464,0.032246,0.070586,0.023527,0.074717
bw,open,2017-18,380,0.050731,0.050723,0.045924,0.054554,0.032206,0.073411
bw,open,2018-19,380,0.050185,0.050625,0.045041,0.054029,0.036928,0.054950
bw,open,2019-20,380,0.050617,0.051049,0.045849,0.054189,0.036593,0.061163
bw,open,2020-21,380,0.050814,0.050726,0.046957,0.054395,0.045080,0.054975
bw,open,2021-22,380,0.055638,0.055199,0.046362,0.064821,0.038900,0.071895
bw,open,2022-23,380,0.057752,0.057795,0.048145,0.065268,0.035338,0.095407
bw,open,2023-24,378,0.056486,0.057143,0.044761,0.064448,0.035288,0.091442
bw,open,2024-25,239,0.049667,0.050129,0.041628,0.057416,0.032569,0.063492
bw,open,2025-26,380,0.057773,0.057678,0.051292,0.064821,0.040219,0.072727
bw,close,2019-20,380,0.044531,0.042840,0.037311,0.052946,0.024470,0.070574
bw,close,2020-21,380,0.050981,0.051271,0.047009,0.054288,0.045080,0.054975
bw,close,2021-22,380,0.056144,0.056022,0.046925,0.064935,0.038462,0.071895
bw,close,2022-23,380,0.057831,0.057971,0.047912,0.065927,0.037587,0.085309
bw,close,2023-24,368,0.056468,0.056774,0.046844,0.064395,0.039136,0.085344
bw,close,2024-25,239,0.049712,0.049730,0.041502,0.057100,0.031385,0.064762
bw,close,2025-26,380,0.058556,0.058455,0.050126,0.066237,0.035714,0.127451
iw,open,2016-17,380,0.059079,0.056769,0.053907,0.080044,0.052953,0.083333
iw,open,2017-18,380,0.055924,0.056022,0.052015,0.058680,0.047009,0.060458
iw,open,2018-19,380,0.053489,0.053863,0.048963,0.057331,0.044855,0.059468
iw,open,2019-20,380,0.052644,0.053030,0.046502,0.057759,0.042831,0.064935
iw,open,2020-21,380,0.054856,0.053301,0.044562,0.070112,0.036923,0.083519
iw,open,2021-22,380,0.049656,0.049998,0.042156,0.056062,0.034053,0.059109
iw,open,2022-23,380,0.050329,0.050180,0.043329,0.057505,0.034053,0.084555
iw,open,2023-24,198,0.049776,0.049918,0.042189,0.056300,0.034965,0.058016
iw,close,2019-20,380,0.053486,0.053634,0.047688,0.058074,0.036904,0.112974
iw,close,2020-21,380,0.053089,0.052065,0.042748,0.066664,0.035897,0.083519
iw,close,2021-22,377,0.050288,0.050726,0.043205,0.056647,0.038961,0.058613
iw,close,2022-23,380,0.050317,0.050172,0.041957,0.057266,0.026280,0.087779
iw,close,2023-24,198,0.049923,0.050275,0.042797,0.055874,0.036531,0.058911
wh,open,2016-17,380,0.046934,0.043078,0.035081,0.063265,0.023018,0.068248
wh,open,2017-18,380,0.048591,0.044419,0.037037,0.064844,0.023810,0.088235
wh,open,2018-19,380,0.052180,0.051073,0.044976,0.064510,0.026464,0.071637
wh,open,2019-20,380,0.050427,0.050505,0.045413,0.054509,0.043631,0.095238
wh,open,2020-21,380,0.050791,0.050586,0.045033,0.056882,0.043360,0.066389
wh,open,2021-22,380,0.060566,0.060858,0.055387,0.064577,0.051460,0.070433
wh,open,2022-23,380,0.062069,0.060781,0.055415,0.064816,0.052553,0.129073
wh,open,2023-24,380,0.076084,0.072704,0.052731,0.126443,0.008333,0.139117
wh,open,2024-25,289,0.052186,0.050000,0.040539,0.068278,0.036940,0.098485
wh,close,2019-20,380,0.048236,0.050098,0.029971,0.054693,0.020623,0.066872
wh,close,2020-21,380,0.051059,0.051049,0.045155,0.057936,0.041400,0.064104
wh,close,2021-22,380,0.060464,0.060572,0.055387,0.064478,0.053315,0.077548
wh,close,2022-23,380,0.062503,0.060717,0.055662,0.065085,0.051460,0.136508
wh,close,2023-24,380,0.073155,0.072769,0.036251,0.126511,0.015834,0.140873
wh,close,2024-25,289,0.052415,0.050926,0.041346,0.068989,0.029040,0.093939
vc,open,2016-17,380,0.027892,0.026354,0.020618,0.040185,0.012117,0.077354
vc,open,2017-18,380,0.028206,0.026915,0.019776,0.038986,0.016698,0.069444
vc,open,2018-19,380,0.026103,0.025339,0.018315,0.036366,0.012117,0.061562
vc,open,2019-20,380,0.041948,0.042389,0.025238,0.051917,0.014286,0.059971
vc,open,2020-21,380,0.049351,0.049833,0.040465,0.055054,0.036545,0.060893
vc,open,2021-22,380,0.064467,0.069073,0.039609,0.074453,0.035206,0.080053
vc,open,2022-23,380,0.068686,0.068784,0.051340,0.085442,0.031933,0.091885
vc,open,2023-24,380,0.069009,0.070811,0.050558,0.078533,0.045426,0.088865
vc,close,2019-20,380,0.038940,0.039992,0.023121,0.046826,0.012821,0.073831
vc,close,2020-21,380,0.046291,0.047619,0.036545,0.054158,0.028817,0.078169
vc,close,2021-22,380,0.040478,0.040350,0.035143,0.046601,0.030769,0.083321
vc,close,2022-23,380,0.061215,0.065731,0.038019,0.085482,0.028817,0.092050
vc,close,2023-24,380,0.050158,0.049917,0.044750,0.056866,0.039239,0.087404
